Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S2,2020,5,5,22,59,57,45.437786,-71.918831,150,20,49.5,5.4,60,614.4,4170,1.396132,304,225,203,688,OK,0.414,0.539,,
S3,2020,5,5,22,59,59,45.437477,-71.918533,150,20,49.6,5.5,60,614.4,2904,0.195719,64,40,37,92,UE,0.332,0.460,,
S4,2020,5,5,23,0,2,45.437298,-71.918358,150.2,20,49.6,5.4,60,614.4,2010,2.04853,669,383,314,1111,OK,0.280,0.438,,
S5,2020,5,5,23,0,4,45.437069,-71.918137,150.39999,20,49.6,5.4,60,614.4,4824,0.300103,77,56,54,107,UE,0.413,0.520,,
S6,2020,5,5,23,0,7,45.436951,-71.918022,150.39999,20,49.7,5.4,60,614.4,2875,0.117432,40,25,23,62,UE,0.331,0.462,,
S1,2020,5,5,23,0,9,45.43684,-71.917892,150.5,20,49.7,5.4,60,614.4,2368,13.700357,1954,1394,704,4307,OK,0.245,0.432,,
S2,2020,5,5,23,0,12,45.436626,-71.917679,150.3,20,49.7,5.4,60,614.4,1762,2.713976,1155,501,283,1959,OK,0.145,0.313,,
S3,2020,5,5,23,0,14,45.436455,-71.917511,150.3,20,49.8,5.4,60,614.4,1666,0.287055,108,56,42,176,UE,0.229,0.398,,
S4,2020,5,5,23,0,17,45.436165,-71.917259,150,20,49.8,5.4,60,614.4,1646,3.796956,1318,673,469,2238,OK,0.215,0.391,,
S5,2020,5,5,23,0,19,45.435947,-71.917084,149.7,20,49.8,5.4,60,614.4,3722,0.195719,49,34,31,78,UE,0.384,0.510,,
S6,2020,5,5,23,0,21,45.435608,-71.916847,149.39999,20,49.8,5.4,60,614.4,2043,0.091336,77,35,31,112,UE,0.174,0.311,,
S1,2020,5,5,23,0,24,45.435379,-71.91671,149.10001,20,49.8,5.4,60,614.4,2055,0.561062,127,77,50,242,UE,0.263,0.446,,
S2,2020,5,5,23,0,26,45.435036,-71.916519,149.10001,20,49.8,5.4,60,614.4,2800,1.004693,781,301,197,1236,OK,0.136,0.280,,
S3,2020,5,5,23,0,29,45.434803,-71.916389,148.5,20,49.9,5.5,60,614.4,1745,0.352295,117,63,46,192,UE,0.241,0.414,,
S4,2020,5,5,23,0,31,45.434574,-71.916267,148.39999,20,49.8,5.4,60,614.4,2287,1.422228,902,365,238,1379,OK,0.144,0.299,,
S5,2020,5,5,23,0,34,45.434235,-71.916069,148.60001,20,49.8,5.4,60,614.4,3492,7.724392,1212,962,727,2792,OK,0.406,0.561,,
S6,2020,5,5,23,0,36,45.434017,-71.915955,148.7,15,50,5.5,60,614.4,5728,0.117432,39,27,28,67,UE,0.388,0.474,,
S1,2020,5,5,23,0,39,45.433697,-71.915779,148.8,15,49.9,5.4,60,614.4,2010,0.795925,272,155,130,461,OK,0.280,0.433,,
S2,2020,5,5,23,0,41,45.433483,-71.915657,148.7,15,49.9,5.4,60,614.4,4378,1.813666,285,240,200,699,OK,0.457,0.590,,
S3,2020,5,5,23,0,44,45.433174,-71.915482,148.5,20,49.9,5.4,60,614.4,3263,0.117432,35,23,21,55,UE,0.356,0.486,,
S4,2020,5,5,23,0,46,45.432968,-71.915359,148.5,20,50,5.4,60,614.4,1664,1.552707,608,315,247,1007,OK,0.233,0.396,,
S5,2020,5,5,23,0,48,45.432663,-71.915192,148.89999,20,50,5.5,60,614.4,5602,0.469727,62,60,52,142,UE,0.526,0.639,,
S6,2020,5,5,23,0,51,45.432457,-71.91507,148.89999,20,50,5.4,60,614.4,4046,0.117432,40,26,26,69,UE,0.354,0.457,,
S1,2020,5,5,23,0,53,45.432133,-71.914886,148.89999,20,50,5.5,60,614.4,2336,0.965549,278,169,140,493,OK,0.309,0.463,,
S2,2020,5,5,23,0,56,45.431904,-71.914757,148.7,15,50,5.4,60,614.4,1940,0.443631,141,80,63,264,UE,0.272,0.436,,
S4,2020,5,5,23,1,1,45.431332,-71.914421,148.39999,15,50,5.5,60,614.4,2120,0.795925,275,159,137,436,OK,0.289,0.437,,
