# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S6,2020,6,10,22,44,27,45.423481,-71.876106,261.20001,14,57,19.3,60,614.4,1683,0.482775,172,90,67,287,UE,,,
S1,2020,6,10,22,44,29,45.42345,-71.875969,261.20001,14,57,19.3,60,614.4,2289,0.260959,78,47,39,136,UE,,,
S3,2020,6,10,22,44,34,45.423458,-71.875557,258.29999,14,57,19.3,60,614.4,2420,0.195719,61,37,32,88,UE,,,
S4,2020,6,10,22,44,37,45.423481,-71.875389,257.39999,14,57,19.3,60,614.4,2497,0.143528,48,29,26,67,UE,,,
S5,2020,6,10,22,44,39,45.423515,-71.875275,257,14,57,19.3,60,614.4,4890,0.182671,34,28,25,65,UE,,,
S2,2020,6,10,22,44,47,45.423965,-71.875015,254.8,13,57,19.3,60,614.4,3929,0.091336,42,26,27,49,UE,,,
S3,2020,6,10,22,44,49,45.424122,-71.874962,253.3,13,57.1,19.3,60,614.4,2161,0.221815,81,47,41,114,UE,,,
S4,2020,6,10,22,44,51,45.424347,-71.874825,251,14,57.1,19.3,60,614.4,1745,0.182671,71,38,31,101,UE,,,
S5,2020,6,10,22,44,54,45.424469,-71.874672,251.2,13,57.2,19.3,60,614.4,5055,0.195719,44,34,32,58,UE,,,
S2,2020,6,10,22,45,1,45.424908,-71.873985,249.60001,14,57.4,19.3,60,614.4,3021,0.234863,72,46,42,100,UE,,,
S3,2020,6,10,22,45,4,45.425121,-71.873695,248.5,13,57.4,19.3,60,614.4,5663,0.195719,45,35,34,55,UE,,,
S4,2020,6,10,22,45,6,45.425274,-71.87355,247.5,13,57.4,19.3,60,614.4,1628,3.405517,1341,674,501,2302,OK,,,
S5,2020,6,10,22,45,9,45.425533,-71.873405,245.8,13,57.4,19.3,60,614.4,3922,0.469727,86,67,56,169,UE,,,
S2,2020,6,10,22,45,16,45.425972,-71.873329,244.8,13,57.5,19.3,60,614.4,1621,0.495822,213,106,82,326,UE,,,
S3,2020,6,10,22,45,18,45.426041,-71.87326,245.10001,13,57.5,19.3,60,614.4,1768,0.247911,83,45,34,134,UE,,,
S4,2020,6,10,22,45,21,45.426071,-71.873146,245,13,57.6,19.3,60,614.4,3347,0.561062,88,69,51,172,UE,,,
S5,2020,6,10,22,45,23,45.426079,-71.872879,244.89999,13,57.6,19.3,60,614.4,4319,0.952501,129,115,91,279,UE,,,
S6,2020,6,10,22,45,26,45.426079,-71.872688,244.7,13,57.6,19.3,60,614.4,2016,0.404487,107,63,45,186,UE,,,
S1,2020,6,10,22,45,28,45.426083,-71.872543,245.10001,13,57.7,19.3,60,614.4,2257,5.741103,1287,809,572,2390,OK,,,
S2,2020,6,10,22,45,31,45.426105,-71.872452,244.60001,14,57.7,19.3,60,614.4,1853,3.666477,1083,606,442,1950,OK,,,
S3,2020,6,10,22,45,33,45.426147,-71.872398,244.5,13,57.7,19.3,60,614.4,4866,0.652398,119,97,87,246,UE,,,
S4,2020,6,10,22,45,36,45.426273,-71.872353,243.3,13,57.7,19.3,60,614.4,1876,0.717638,256,142,117,427,OK,,,
S5,2020,6,10,22,45,38,45.426376,-71.87236,242,13,57.8,19.2,60,614.4,1994,0.143528,55,31,27,79,UE,,,
S2,2020,6,10,22,45,45,45.426735,-71.872345,240.60001,13,57.7,19.3,60,614.4,1824,0.260959,160,73,59,250,UE,,,
S4,2020,6,10,22,45,50,45.426907,-71.872337,240.2,14,57.7,19.3,60,614.4,3517,0.782878,179,126,110,313,OK,,,
S2,2020,6,10,22,46,0,45.427376,-71.872322,235.2,12,57.7,19.2,60,614.4,2180,0.247911,76,45,37,123,UE,,,
S4,2020,6,10,22,46,5,45.427639,-71.872314,232.3,13,57.7,19.2,60,614.4,1904,0.313151,115,64,54,165,UE,,,
S5,2020,6,10,22,46,7,45.427799,-71.872307,230.8,13,57.7,19.3,60,614.4,2261,0.182671,59,35,30,91,UE,,,
S6,2020,6,10,22,46,10,45.42791,-71.872299,230.2,13,57.7,19.2,60,614.4,2155,0.391439,103,62,47,181,UE,,,
S1,2020,6,10,22,46,12,45.428062,-71.872292,230.2,13,57.7,19.2,60,614.4,2935,0.939453,218,147,121,401,OK,,,
S2,2020,6,10,22,46,15,45.428162,-71.872292,227.8,12,57.7,19.2,60,614.4,1630,1.657091,647,326,242,1114,OK,,,
S3,2020,6,10,22,46,17,45.428242,-71.872276,227.7,13,57.7,19.2,60,614.4,1666,0.665446,245,127,95,404,UE,,,
S4,2020,6,10,22,46,20,45.428322,-71.872276,226.89999,12,57.7,19.2,60,614.4,2893,0.691542,123,89,64,237,UE,,,
S5,2020,6,10,22,46,22,45.42836,-71.872261,226.3,12,57.7,19.2,60,614.4,3463,0.469727,88,66,53,153,UE,,,
