# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S4,2020,4,25,22,39,35,45.396381,-71.885544,155,14,33.5,8.3,60,614.4,2205,0.991645,638,265,184,1029,OK,0.15,0.31,,
S5,2020,4,25,22,39,38,45.39624,-71.885452,154.7,14,33.6,8.4,60,614.4,2229,0.626302,416,173,122,660,OK,0.15,0.31,,
S6,2020,4,25,22,39,40,45.396152,-71.885384,154.8,14,33.5,8.3,60,614.4,1631,0.691542,264,133,96,453,UE,0.21,0.39,,
S1,2020,4,25,22,39,43,45.396023,-71.885284,155.3,14,33.6,8.4,60,614.4,1632,12.760903,5338,2544,1781,9035,OK,0.19,0.36,,
S2,2020,4,25,22,39,45,45.395939,-71.885216,155.3,14,33.6,8.3,60,614.4,2120,7.346001,4524,1899,1318,7688,OK,0.15,0.31,,
S3,2020,4,25,22,39,48,45.395805,-71.885109,155.3,14,33.6,8.3,60,614.4,1922,0.300103,194,87,70,310,UE,0.17,0.33,,
S4,2020,4,25,22,39,50,45.395702,-71.885048,155.5,14,33.6,8.3,60,614.4,2069,1.252604,733,307,205,1184,OK,0.15,0.31,,
S5,2020,4,25,22,39,53,45.395554,-71.884949,155.5,14,33.6,8.3,60,614.4,1620,1.487467,553,270,181,938,OK,0.19,0.37,,
S6,2020,4,25,22,39,55,45.395451,-71.884888,155.3,14,33.6,8.3,60,614.4,1829,3.353326,863,485,311,1554,OK,0.23,0.42,,
S1,2020,4,25,22,39,57,45.395351,-71.884827,155,14,33.6,8.3,60,614.4,2554,19.089165,3449,2377,1597,6802,OK,0.32,0.49,,
S2,2020,4,25,22,40,0,45.39521,-71.884735,154.89999,14,33.6,8.2,60,614.4,1964,5.975965,3123,1310,813,5120,OK,0.15,0.31,,
S3,2020,4,25,22,40,2,45.395126,-71.884689,155.10001,14,33.6,8.2,60,614.4,2032,6.928467,1748,1036,732,3351,OK,0.27,0.45,,
S4,2020,4,25,22,40,5,45.395046,-71.884651,155.2,14,33.7,8.2,60,614.4,1831,1.91805,973,426,286,1612,OK,0.16,0.33,,
S5,2020,4,25,22,40,7,45.394997,-71.884621,155.10001,14,33.7,8.2,60,614.4,1654,0.848117,292,150,104,510,OK,0.22,0.39,,
S6,2020,4,25,22,40,10,45.394897,-71.884575,154.2,14,33.7,8.2,60,614.4,1788,1.696235,524,287,208,930,OK,0.25,0.42,,
S1,2020,4,25,22,40,12,45.39481,-71.884529,154.39999,14,33.7,8.2,60,614.4,1621,16.009846,6305,3064,2134,10826,OK,0.2,0.37,,
S2,2020,4,25,22,40,15,45.394676,-71.88446,153.89999,14,33.7,8.2,60,614.4,1690,7.215521,3265,1496,1021,5650,OK,0.18,0.35,,
S3,2020,4,25,22,40,17,45.394585,-71.884415,153.89999,14,33.7,8.2,60,614.4,1649,3.601237,1233,631,436,2174,OK,0.21,0.39,,
S4,2020,4,25,22,40,20,45.394432,-71.884338,153.89999,14,33.7,8.1,60,614.4,1625,1.030789,451,218,161,777,OK,0.2,0.37,,
S5,2020,4,25,22,40,22,45.394333,-71.884285,153.60001,14,33.8,8.2,60,614.4,1627,0.521918,188,94,64,317,UE,0.2,0.38,,
S6,2020,4,25,22,40,24,45.394253,-71.884232,153.60001,14,33.7,8.1,60,614.4,1705,0.913357,308,163,119,532,OK,0.23,0.41,,
S1,2020,4,25,22,40,27,45.394104,-71.884178,152.60001,14,33.7,8.1,60,614.4,1662,4.723361,1611,833,586,2805,OK,0.22,0.4,,
S2,2020,4,25,22,40,29,45.39399,-71.884094,154.39999,14,33.7,8.1,60,614.4,1679,5.506239,2475,1141,785,4287,OK,0.18,0.35,,
S3,2020,4,25,22,40,32,45.393879,-71.883965,151.7,14,33.7,8.1,60,614.4,1638,9.081381,3587,1824,1391,6216,OK,0.22,0.39,,
S4,2020,4,25,22,40,34,45.393829,-71.883873,150,14,33.8,8.1,60,614.4,1809,8.846517,4229,1843,1171,6951,OK,0.16,0.33,,
S5,2020,4,25,22,40,37,45.393799,-71.88372,148.89999,14,33.8,8.1,60,614.4,1682,13.400254,5813,2661,1756,9539,OK,0.17,0.35,,
S6,2020,4,25,22,40,39,45.39381,-71.883614,148.2,14,33.8,8.1,60,614.4,1846,1.043837,333,185,141,579,OK,0.26,0.43,,
S1,2020,4,25,22,40,42,45.393864,-71.883469,148.2,14,33.7,8,60,614.4,1973,10.921142,3146,1813,1370,5572,OK,0.27,0.44,,
S2,2020,4,25,22,40,44,45.393902,-71.883377,149.5,14,33.8,8,60,614.4,1869,2.11377,1146,502,352,1895,OK,0.17,0.33,,
S3,2020,4,25,22,40,47,45.393978,-71.883286,149.8,14,33.8,8,60,614.4,1999,10.177408,2949,1707,1306,5404,OK,0.28,0.44,,
S4,2020,4,25,22,40,49,45.394032,-71.883247,149.3,14,33.8,8,60,614.4,5743,2.244249,5676,2007,1575,8732,OK,0.11,0.22,,
S5,2020,4,25,22,40,51,45.394054,-71.883286,149.5,14,33.8,8,60,614.4,4456,3.823052,5467,2036,1565,8403,OK,0.12,0.25,,
S6,2020,4,25,22,40,54,45.394058,-71.883301,150.2,14,33.8,8,60,614.4,1620,0.587158,283,140,114,467,OK,0.21,0.37,,
S1,2020,4,25,22,40,56,45.394054,-71.883278,150.5,14,33.8,8,60,614.4,1937,0.587158,253,140,127,409,OK,0.27,0.41,,
S2,2020,4,25,22,40,59,45.394054,-71.883301,150.89999,14,33.8,7.9,60,614.4,4051,0.365343,4134,1373,1088,6227,OK,0.1,0.19,,
S3,2020,4,25,22,41,1,45.394024,-71.883339,152.60001,14,33.8,7.9,60,614.4,1700,1.122124,373,197,141,640,OK,0.23,0.41,,
S4,2020,4,25,22,41,4,45.393932,-71.883408,152.5,14,33.8,8,60,614.4,1640,1.826714,795,377,269,1331,OK,0.19,0.36,,
S5,2020,4,25,22,41,6,45.393879,-71.883507,153.5,14,33.9,8,60,614.4,1662,4.057915,1606,831,654,2723,OK,0.23,0.4,,
S6,2020,4,25,22,41,9,45.393841,-71.883682,153.5,14,33.8,7.9,60,614.4,2511,2.022434,1652,694,551,2615,OK,0.15,0.3,,
S1,2020,4,25,22,41,11,45.393856,-71.883804,151.8,14,33.9,7.9,60,614.4,1681,12.017171,5841,2722,2020,9715,OK,0.19,0.35,,
S2,2020,4,25,22,41,13,45.393906,-71.883896,153.2,14,33.9,7.9,60,614.4,5598,2.466064,5594,1929,1419,8572,OK,0.12,0.22,,
S3,2020,4,25,22,41,16,45.394001,-71.884018,152,14,33.9,7.9,60,614.4,1688,0.795925,257,135,93,453,UE,0.22,0.4,,
S4,2020,4,25,22,41,18,45.394085,-71.884094,152.10001,14,33.9,7.9,60,614.4,1729,1.813666,608,325,241,1072,OK,0.24,0.41,,
S5,2020,4,25,22,41,21,45.394234,-71.884171,151.5,14,33.9,7.9,60,614.4,1818,0.208767,69,38,29,111,UE,0.26,0.42,,
S6,2020,4,25,22,41,23,45.394352,-71.884209,152.39999,14,33.9,7.9,60,614.4,1790,1.2787,367,202,138,650,OK,0.24,0.42,,
S1,2020,4,25,22,41,26,45.394505,-71.884277,154,14,33.8,7.8,60,614.4,1991,5.871582,1529,895,636,2860,OK,0.27,0.44,,
S2,2020,4,25,22,41,28,45.394611,-71.884323,153.3,14,33.9,7.8,60,614.4,1894,5.271376,2764,1191,790,4675,OK,0.16,0.32,,
S3,2020,4,25,22,41,31,45.394745,-71.884392,152,14,33.9,7.8,60,614.4,2055,3.731717,1210,698,577,2342,OK,0.28,0.44,,
S4,2020,4,25,22,41,33,45.39481,-71.884422,151.7,14,33.9,7.8,60,614.4,1915,2.466064,1351,584,401,2242,OK,0.16,0.32,,
S5,2020,4,25,22,41,36,45.394928,-71.884476,152,14,33.9,7.8,60,614.4,1695,5.532335,2510,1147,780,4112,OK,0.18,0.35,,
S6,2020,4,25,22,41,38,45.395027,-71.884521,152.39999,14,33.9,7.8,60,614.4,1625,5.18004,2019,967,647,3412,OK,0.19,0.36,,
S1,2020,4,25,22,41,40,45.39513,-71.884575,152.39999,14,33.9,7.8,60,614.4,2578,2.074625,402,273,193,726,OK,0.33,0.5,,
