Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,,,
S2,2020,4,18,22,21,13,45.423161,-71.864738,239.7,12,38.9,8.1,60,614.4,1696,0.117432,61,32,29,82,UE,0.24,0.38,,,,
S3,2020,4,18,22,21,15,45.423206,-71.864822,238.5,13,38.9,8.1,60,614.4,1620,0.221815,103,51,40,163,UE,0.21,0.38,,,,
S4,2020,4,18,22,21,18,45.423222,-71.865005,238.39999,13,38.9,8.1,60,614.4,1802,0.247911,86,47,37,138,UE,0.26,0.42,,,,
S5,2020,4,18,22,21,20,45.423218,-71.86512,238.2,13,38.9,8.1,60,614.4,3687,0.104384,16,13,10,29,UE,0.42,0.57,,,,
S6,2020,4,18,22,21,23,45.42321,-71.865242,238.89999,13,38.9,8,60,614.4,3499,0.026096,5,4,3,9,UE,0.41,0.56,,,,
S1,2020,4,18,22,21,25,45.423206,-71.865425,239.2,13,38.9,8.1,60,614.4,1635,0,2,1,1,4,UE,0.2,0.32,,,,
S2,2020,4,18,22,21,28,45.423199,-71.865555,239.60001,13,38.9,8,60,614.4,2129,0.208767,51,31,22,95,UE,0.28,0.46,,,,
S3,2020,4,18,22,21,30,45.423195,-71.865723,240.39999,13,38.9,8,60,614.4,3118,0.274007,38,31,20,86,UE,0.37,0.54,,,,
S4,2020,4,18,22,21,32,45.423195,-71.865822,240.8,13,38.9,8,60,614.4,1621,0.861165,356,173,124,612,OK,0.2,0.37,,,,
S5,2020,4,18,22,21,35,45.423199,-71.865974,241.2,13,38.9,8,60,614.4,5344,0.391439,48,48,40,130,UE,0.53,0.65,,,,
S6,2020,4,18,22,21,37,45.423199,-71.866081,242,13,38.9,8,60,614.4,1701,0.300103,108,57,43,185,UE,0.24,0.41,,,,
S1,2020,4,18,22,21,40,45.423199,-71.866234,242,13,38.9,8,60,614.4,1870,4.749457,2606,1145,815,4225,OK,0.17,0.33,,,,
S2,2020,4,18,22,21,42,45.423199,-71.866333,243.89999,13,38.9,7.9,60,614.4,1634,3.666477,1669,800,600,2919,OK,0.2,0.36,,,,
S3,2020,4,18,22,21,45,45.423191,-71.86644,244.5,13,38.9,7.9,60,614.4,2931,0.260959,55,38,30,106,UE,0.36,0.52,,,,
S4,2020,4,18,22,21,47,45.423157,-71.866592,245.2,13,38.9,7.9,60,614.4,2659,0.404487,90,60,46,172,UE,0.34,0.5,,,,
S5,2020,4,18,22,21,50,45.423096,-71.866669,245.7,13,38.9,7.9,60,614.4,1832,0.482775,138,77,54,254,UE,0.25,0.43,,,,
S6,2020,4,18,22,21,52,45.422974,-71.866714,245.8,13,38.9,7.9,60,614.4,4508,0.026096,4,4,3,7,UE,0.49,0.63,,,,
S1,2020,4,18,22,21,54,45.422878,-71.866707,246.5,13,38.9,7.9,60,614.4,3242,0.013048,2,2,1,5,UE,0.34,0.51,,,,
S2,2020,4,18,22,21,57,45.422737,-71.866707,247,13,38.9,7.9,60,614.4,3067,0.260959,52,37,29,110,UE,0.37,0.53,,,,
