Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S5,2020,5,12,23,2,14,45.474964,-71.94397,151.8,13,33.6,10.5,60,614.4,2008,0.548014,168,97,76,271,UE,2.79E-01,4.43E-01,,
S6,2020,5,12,23,2,16,45.475079,-71.943848,151.89999,13,33.6,10.5,60,614.4,1736,0.156576,132,64,62,189,UE,1.93E-01,3.13E-01,,
S2,2020,5,12,23,2,21,45.475201,-71.943733,152.7,13,33.6,10.5,60,614.4,2255,0.822021,529,217,147,851,OK,1.48E-01,3.03E-01,,
S3,2020,5,12,23,2,24,45.47525,-71.943672,152.3,13,33.6,10.5,60,614.4,1850,0.965549,476,205,129,758,OK,1.55E-01,3.20E-01,,
S4,2020,5,12,23,2,26,45.475243,-71.94352,150.89999,13,33.6,10.4,60,614.4,14018,854.73267,647,199,183,862,OK,3.31E-02,7.20E-02,,
S5,2020,5,12,23,2,29,45.475208,-71.94342,149.7,13,33.6,10.4,60,614.4,2615,0.260959,79,49,43,110,UE,3.24E-01,4.66E-01,,
S6,2020,5,12,23,2,31,45.475155,-71.943314,149.7,13,33.6,10.4,60,614.4,1679,0.156576,94,49,47,141,UE,2.34E-01,3.58E-01,,
S1,2020,5,12,23,2,34,45.475128,-71.943245,150.3,13,33.6,10.4,60,614.4,1941,5.780246,1610,925,675,2751,OK,2.66E-01,4.39E-01,,
S2,2020,5,12,23,2,36,45.475086,-71.943169,150.3,13,33.7,10.3,60,614.4,2800,0.208767,210,89,76,296,UE,1.48E-01,2.85E-01,,
S3,2020,5,12,23,2,39,45.475071,-71.943146,149.8,13,33.7,10.3,60,614.4,1623,1.226508,625,315,273,1058,OK,2.23E-01,3.70E-01,,
S4,2020,5,12,23,2,41,45.475063,-71.94313,149.39999,13,33.7,10.3,60,614.4,2759,3.614285,918,596,499,1889,OK,3.41E-01,4.90E-01,,
S5,2020,5,12,23,2,44,45.475021,-71.943031,149.2,13,33.7,10.3,60,614.4,3353,3.001031,3092,1215,934,4816,OK,1.34E-01,2.73E-01,,
S6,2020,5,12,23,2,46,45.474968,-71.942917,148.3,13,33.7,10.3,60,614.4,1672,0.495822,337,164,152,537,OK,2.02E-01,3.33E-01,,
S1,2020,5,12,23,2,48,45.474884,-71.942719,147.3,13,33.8,10.3,60,614.4,1717,0.730686,279,148,118,454,OK,2.44E-01,4.06E-01,,
S2,2020,5,12,23,2,51,45.474815,-71.942574,146.8,13,33.8,10.3,60,614.4,53300,852.50146,1378,255,213,1775,OK,4.56E-01,-4.44E-02,,
S3,2020,5,12,23,2,53,45.47472,-71.942322,146.2,13,33.7,10.2,60,614.4,1621,0.326199,141,70,53,223,UE,2.13E-01,3.80E-01,,
S4,2020,5,12,23,2,56,45.474651,-71.942146,145.8,13,33.8,10.2,60,614.4,1894,0.70459,469,213,177,721,OK,1.79E-01,3.27E-01,,
S5,2020,5,12,23,2,58,45.474545,-71.941872,145.3,13,33.8,10.2,60,614.4,1624,0.274007,114,57,43,174,UE,2.15E-01,3.83E-01,,
S6,2020,5,12,23,3,1,45.47448,-71.941681,144.89999,13,33.8,10.2,60,614.4,3115,0.221815,304,138,139,451,OK,1.49E-01,2.54E-01,,
S2,2020,5,12,23,3,6,45.474312,-71.941223,144.10001,13,33.8,10.1,60,614.4,2143,8.194118,1419,919,493,3133,OK,2.34E-01,4.23E-01,,
S3,2020,5,12,23,3,8,45.474247,-71.94104,144,13,33.8,10.1,60,614.4,2217,0.300103,225,97,77,340,UE,1.61E-01,3.11E-01,,
S4,2020,5,12,23,3,11,45.474148,-71.940758,142.89999,13,33.8,10.1,60,614.4,2970,0.743734,654,256,183,987,OK,1.38E-01,2.81E-01,,
S5,2020,5,12,23,3,13,45.474075,-71.940582,143.10001,13,33.9,10.1,60,614.4,5209,0.339247,51,46,40,122,UE,4.97E-01,6.15E-01,,
S6,2020,5,12,23,3,15,45.473976,-71.940338,143.7,13,33.8,10,60,614.4,61327,855.07196,386,114,80,538,UE,1.32E-01,1.73E-01,,
S1,2020,5,12,23,3,18,45.473911,-71.94017,144.7,13,33.8,10,60,614.4,1905,3.640381,1133,639,494,2067,OK,2.67E-01,4.33E-01,,
S2,2020,5,12,23,3,20,45.473812,-71.939903,145.60001,13,33.8,10,60,614.4,1620,2.935791,1202,592,435,2199,OK,2.08E-01,3.77E-01,,
S3,2020,5,12,23,3,23,45.473743,-71.93972,146.5,13,33.9,10,60,614.4,1769,0.260959,102,55,45,159,UE,2.53E-01,4.11E-01,,
S4,2020,5,12,23,3,25,45.47364,-71.939453,147.89999,13,33.9,10,60,614.4,2361,13.55683,9353,3830,2690,15102,OK,1.48E-01,3.01E-01,,
S5,2020,5,12,23,3,28,45.473579,-71.939278,148.8,13,33.8,9.9,60,614.4,2474,1.082981,246,159,120,474,OK,3.21E-01,4.87E-01,,
S6,2020,5,12,23,3,30,45.47348,-71.939018,149.2,13,33.8,9.9,60,614.4,36446,855.05884,470,187,201,674,OK,5.03E-02,1.22E-01,,
S1,2020,5,12,23,3,33,45.473412,-71.938835,149.2,13,33.9,9.9,60,614.4,1783,0.991645,191,108,43,339,UE,1.22E-01,3.08E-01,,
S2,2020,5,12,23,3,35,45.473347,-71.938644,149.60001,13,33.9,9.9,60,614.4,1935,4.632026,1923,755,289,3192,OK,8.92E-02,2.26E-01,,
S3,2020,5,12,23,3,38,45.473251,-71.938377,150.8,13,33.9,9.8,60,614.4,1961,0.430583,102,60,39,186,UE,2.53E-01,4.35E-01,,
S4,2020,5,12,23,3,40,45.473175,-71.938194,150.5,13,33.9,9.8,60,614.4,1797,4.853841,2204,954,571,3636,OK,1.51E-01,3.19E-01,,
S5,2020,5,12,23,3,42,45.473072,-71.93792,150.7,13,33.9,9.8,60,614.4,2807,12.865287,1546,1259,681,3794,OK,3.07E-01,4.86E-01,,
S6,2020,5,12,23,3,45,45.473,-71.937737,151,13,33.9,9.8,60,614.4,2185,0.234863,92,53,48,148,UE,2.89E-01,4.26E-01,,
S1,2020,5,12,23,3,47,45.4729,-71.937454,150.8,13,33.9,9.8,60,614.4,1627,15.722792,5569,2783,1884,9569,OK,2.04E-01,3.80E-01,,
S2,2020,5,12,23,3,50,45.472832,-71.937279,150.10001,13,34,9.8,60,614.4,2123,1.735379,1031,427,281,1686,OK,1.49E-01,3.07E-01,,
S3,2020,5,12,23,3,52,45.472729,-71.936996,150.3,13,33.9,9.7,60,614.4,1918,0.57411,159,91,65,280,UE,2.61E-01,4.37E-01,,
S4,2020,5,12,23,3,55,45.472656,-71.936813,150.60001,13,33.9,9.7,60,614.4,1912,4.005723,2117,908,599,3427,OK,1.57E-01,3.21E-01,,
S5,2020,5,12,23,3,57,45.472546,-71.936554,150.60001,13,33.9,9.7,60,614.4,1688,0.313151,124,65,52,190,UE,2.39E-01,4.00E-01,,
S1,2020,5,12,23,4,2,45.472355,-71.936226,151.89999,13,34,9.7,60,614.4,2207,7.22857,1122,756,375,2386,OK,2.23E-01,4.12E-01,,
S2,2020,5,12,23,4,5,45.472191,-71.936005,151.89999,13,34,9.6,60,614.4,1640,6.210829,1746,881,474,3262,OK,1.67E-01,3.52E-01,,
S3,2020,5,12,23,4,7,45.47208,-71.935883,152.60001,13,34,9.6,60,614.4,1943,1.839762,700,391,339,1235,OK,2.72E-01,4.20E-01,,
S4,2020,5,12,23,4,9,45.471893,-71.935699,153.39999,13,34,9.6,60,614.4,4805,1.187364,1943,723,572,3015,OK,1.17E-01,2.41E-01,,
S5,2020,5,12,23,4,12,45.471752,-71.935577,154,13,33.9,9.5,60,614.4,2153,0.274007,114,65,60,155,UE,2.84E-01,4.16E-01,,
S6,2020,5,12,23,4,14,45.471535,-71.93544,154.39999,13,34,9.6,60,614.4,1728,0.326199,196,92,77,328,UE,1.92E-01,3.42E-01,,
S1,2020,5,12,23,4,17,45.471397,-71.935364,154,13,34,9.5,60,614.4,2610,7.567817,968,747,389,2198,OK,2.77E-01,4.61E-01,,
S2,2020,5,12,23,4,19,45.471172,-71.935249,155.60001,13,34,9.5,60,614.4,1651,14.104844,5544,2565,1595,9606,OK,1.70E-01,3.45E-01,,
S3,2020,5,12,23,4,22,45.471016,-71.935181,156.5,13,34,9.5,60,614.4,1674,6.602268,1370,714,240,2518,OK,7.21E-02,2.47E-01,,
S4,2020,5,12,23,4,24,45.470779,-71.935089,156.5,13,34,9.5,60,614.4,1928,6.184733,1244,741,398,2425,OK,2.10E-01,4.00E-01,,
S5,2020,5,12,23,4,27,45.470623,-71.935036,158.2,13,34,9.5,60,614.4,1653,0.313151,111,57,40,181,UE,2.18E-01,3.93E-01,,
S6,2020,5,12,23,4,29,45.470474,-71.934967,158,13,34,9.4,60,614.4,3767,0.143528,237,107,110,357,OK,1.40E-01,2.39E-01,,
S1,2020,5,12,23,4,32,45.470261,-71.93486,158.5,13,34,9.4,60,614.4,2053,2.570448,1010,571,514,1731,OK,2.79E-01,4.18E-01,,
S2,2020,5,12,23,4,34,45.470116,-71.934799,158.60001,13,34,9.4,60,614.4,1907,0.782878,473,210,161,764,OK,1.72E-01,3.29E-01,,
S3,2020,5,12,23,4,36,45.469891,-71.934708,159.39999,13,34,9.4,60,614.4,2355,0.234863,69,42,35,112,UE,3.10E-01,4.63E-01,,
S4,2020,5,12,23,4,39,45.469746,-71.934624,159.3,13,34,9.4,60,614.4,1781,0.717638,445,206,171,690,OK,1.87E-01,3.37E-01,,
S5,2020,5,12,23,4,41,45.469528,-71.934517,160.89999,13,34,9.4,60,614.4,1650,0.143528,68,35,30,99,UE,2.33E-01,3.83E-01,,
S6,2020,5,12,23,4,44,45.469383,-71.934448,161.2,13,34,9.3,60,614.4,5680,0.143528,363,156,160,528,OK,1.13E-01,2.09E-01,,
S1,2020,5,12,23,4,46,45.469158,-71.934349,161.89999,12,34,9.3,60,614.4,2544,0.822021,116,86,47,252,UE,2.81E-01,4.65E-01,,
S2,2020,5,12,23,4,49,45.469013,-71.93428,162.39999,12,34,9.3,60,614.4,2106,8.11583,1339,868,428,2906,OK,2.11E-01,4.00E-01,,
S3,2020,5,12,23,4,51,45.4688,-71.934128,162.39999,12,34,9.3,60,614.4,1620,8.611653,2239,1052,373,3952,OK,7.45E-02,2.41E-01,,
S4,2020,5,12,23,4,54,45.468655,-71.934006,163.8,13,34,9.2,60,614.4,1655,4.814697,1562,696,303,2652,OK,1.08E-01,2.76E-01,,
S5,2020,5,12,23,4,56,45.468517,-71.933884,164.10001,13,34,9.2,60,614.4,2069,0.378391,101,60,44,168,UE,2.80E-01,4.53E-01,,
S6,2020,5,12,23,4,59,45.468304,-71.933678,165.3,13,34.1,9.2,60,614.4,2555,0.443631,445,197,180,673,OK,1.57E-01,2.86E-01,,
S1,2020,5,12,23,5,1,45.468166,-71.93354,166,13,34.1,9.2,60,614.4,2267,0.443631,151,89,78,251,UE,2.99E-01,4.43E-01,,
S2,2020,5,12,23,5,3,45.46796,-71.933319,167.3,13,34.1,9.2,60,614.4,3004,3.001031,2712,1075,801,4404,OK,1.39E-01,2.82E-01,,
S3,2020,5,12,23,5,6,45.467808,-71.933136,167.60001,13,34.1,9.2,60,614.4,2407,9.733778,1333,970,480,3009,OK,2.44E-01,4.31E-01,,
S4,2020,5,12,23,5,8,45.467537,-71.932831,167.7,13,34.1,9.1,60,614.4,2616,0.600206,182,113,99,281,UE,3.25E-01,4.67E-01,,
S4,2020,5,12,23,5,23,45.465862,-71.931297,167.3,13,34,9,60,614.4,2706,0.652398,189,119,104,293,OK,3.31E-01,4.73E-01,,
S4,2020,5,12,23,5,38,45.463917,-71.931,171.39999,13,34,8.9,60,614.4,2606,0.665446,196,122,106,303,OK,3.25E-01,4.69E-01,,
S4,2020,5,12,23,5,53,45.461975,-71.931152,167.60001,13,33.9,8.8,60,614.4,2791,0.626302,181,115,101,279,OK,3.36E-01,4.77E-01,,
S1,2020,5,12,23,6,0,45.461163,-71.93161,165.2,13,33.9,8.7,60,614.4,2056,0.404487,155,88,78,271,UE,2.81E-01,4.24E-01,,
S2,2020,5,12,23,6,2,45.46085,-71.931908,163.89999,13,33.8,8.7,60,614.4,2048,0.169623,111,48,36,169,UE,1.63E-01,3.20E-01,,
S4,2020,5,12,23,6,7,45.460323,-71.932442,161.3,13,33.8,8.7,60,614.4,2652,0.691542,205,128,112,310,OK,3.27E-01,4.70E-01,,
S4,2020,5,12,23,6,22,45.458675,-71.934059,149.60001,14,33.5,8.6,60,614.4,2372,0.743734,230,139,119,357,OK,3.09E-01,4.58E-01,,
S4,2020,5,12,23,6,37,45.456608,-71.934464,147.10001,14,33.7,8.5,60,614.4,2371,0.613254,196,118,102,299,OK,3.08E-01,4.55E-01,,
S5,2020,5,12,23,6,39,45.456184,-71.934471,146.2,14,33.8,8.5,60,614.4,2436,1.370036,350,220,175,616,OK,3.18E-01,4.78E-01,,
S4,2020,5,12,23,6,52,45.454529,-71.934456,144.89999,14,34,8.4,60,614.4,2659,0.691542,197,124,107,309,OK,3.30E-01,4.75E-01,,
S4,2020,5,12,23,7,6,45.452591,-71.934402,145.89999,13,34.2,8.3,60,614.4,3157,1.396132,271,195,154,509,OK,3.76E-01,5.31E-01,,
S5,2020,5,12,23,7,9,45.45232,-71.934349,145.7,15,34.2,8.3,60,614.4,5242,3.314182,312,352,273,899,OK,5.48E-01,6.71E-01,,
S6,2020,5,12,23,7,11,45.451916,-71.934242,145.7,15,34.3,8.2,60,614.4,5818,0.169623,27,24,22,52,UE,5.03E-01,6.09E-01,,
S2,2020,5,12,23,7,16,45.451267,-71.93396,146.10001,20,34.3,8.2,60,614.4,3713,0.76983,88,81,55,212,UE,4.27E-01,5.85E-01,,
S4,2020,5,12,23,7,21,45.450768,-71.933617,145.89999,20,34.4,8.2,60,614.4,3115,1.187364,287,194,166,527,OK,3.63E-01,5.06E-01,,
S5,2020,5,12,23,7,24,45.450424,-71.933311,146.10001,20,34.4,8.2,60,614.4,4746,2.805311,293,304,231,775,OK,5.10E-01,6.44E-01,,
S4,2020,5,12,23,7,36,45.4492,-71.931931,147.7,20,34.5,8.1,60,614.4,1730,1.304796,476,254,199,781,OK,2.45E-01,4.09E-01,,
S5,2020,5,12,23,7,38,45.44891,-71.931595,147.7,20,34.5,8.1,60,614.4,2212,8.468125,2240,1359,1049,4232,OK,2.98E-01,4.63E-01,,
