Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S2,2020,6,9,22,48,31,45.41983,-71.912094,183.8,11,51.8,16.1,60,614.4,1644,2.583496,1123,575,471,1930,OK,,,
S3,2020,6,9,22,48,33,45.41993,-71.912148,183.7,11,51.7,16,60,614.4,2218,0.156576,66,38,35,90,UE,,,
S4,2020,6,9,22,48,35,45.420078,-71.912224,183.5,11,51.7,16,60,614.4,1620,2.779215,1205,592,450,2047,OK,,,
S5,2020,6,9,22,48,38,45.420174,-71.91227,183.2,11,51.8,16,60,614.4,2489,1.526611,511,308,277,815,OK,,,
S2,2020,6,9,22,48,45,45.42054,-71.912453,181.5,11,51.9,16,60,614.4,1646,0.156576,97,50,48,124,UE,,,
S3,2020,6,9,22,48,48,45.420689,-71.912537,180.8,11,51.9,16,60,614.4,1623,0.13048,79,40,37,111,UE,,,
S5,2020,6,9,22,48,53,45.420956,-71.912659,179.89999,11,51.9,16,60,614.4,2864,0.13048,39,25,22,58,UE,,,
S2,2020,6,9,22,49,0,45.42131,-71.912819,178.89999,11,52,16,60,614.4,1620,0.156576,96,48,44,127,UE,,,
S3,2020,6,9,22,49,2,45.421455,-71.912872,178.5,11,52,16,60,614.4,2390,0.169623,55,33,29,82,UE,,,
S3,2020,6,9,22,49,17,45.422066,-71.913002,176.8,11,52,15.9,60,614.4,1660,0.143528,60,31,24,92,UE,,,
S4,2020,6,9,22,49,20,45.422203,-71.912987,175.5,11,52,15.9,60,614.4,1625,0.208767,84,42,31,135,UE,,,
S5,2020,6,9,22,49,22,45.422298,-71.912971,174.8,11,52,15.9,60,614.4,2501,0.182671,49,31,25,83,UE,,,
S2,2020,6,9,22,49,29,45.422726,-71.912941,172.10001,11,52,15.9,60,614.4,1624,0.221815,111,56,48,160,UE,,,
S3,2020,6,9,22,49,32,45.422829,-71.912941,171.39999,11,52,15.9,60,614.4,1804,0.117432,46,25,21,68,UE,,,
S4,2020,6,9,22,49,34,45.422989,-71.912933,171.39999,11,52,15.9,60,614.4,1622,0.104384,53,26,21,75,UE,,,
S5,2020,6,9,22,49,37,45.423092,-71.912941,170,11,52,15.9,60,614.4,5364,0.13048,31,24,23,36,UE,,,
S1,2020,6,9,22,49,42,45.423328,-71.912949,168.10001,11,52,15.8,60,614.4,1891,3.105414,1016,569,450,1784,OK,,,
S2,2020,6,9,22,49,44,45.423416,-71.912956,167,11,52,15.8,60,614.4,1620,3.13151,1460,726,589,2505,OK,,,
S3,2020,6,9,22,49,47,45.423565,-71.912971,165,11,52,15.8,60,614.4,2423,0.117432,44,26,24,59,UE,,,
S4,2020,6,9,22,49,49,45.423672,-71.912956,164,11,52,15.8,60,614.4,1939,0.50887,273,116,75,432,UE,,,
S6,2020,6,9,22,49,54,45.423943,-71.912941,161.3,11,52.1,15.8,60,614.4,1740,0.587158,180,97,67,309,UE,,,
S1,2020,6,9,22,49,56,45.424095,-71.912926,161.5,11,52.1,15.8,60,614.4,1769,12.499945,3335,1829,1156,6018,OK,,,
S2,2020,6,9,22,49,59,45.424198,-71.912926,162,11,52.1,15.8,60,614.4,2197,0.482775,302,124,82,477,UE,,,
S4,2020,6,9,22,50,4,45.424446,-71.912956,160.8,11,52.1,15.8,60,614.4,1954,0.260959,158,69,51,246,UE,,,
S5,2020,6,9,22,50,6,45.424526,-71.912987,161.60001,11,52.1,15.8,60,614.4,3577,0.247911,44,34,27,88,UE,,,
S6,2020,6,9,22,50,9,45.424656,-71.913033,161.60001,11,52.2,15.8,60,614.4,1664,1.082981,508,238,174,840,OK,,,
S1,2020,6,9,22,50,11,45.424751,-71.91304,161.3,11,52.2,15.8,60,614.4,2096,0.143528,54,31,27,94,UE,,,
S2,2020,6,9,22,50,14,45.424881,-71.913048,160.60001,11,52.2,15.8,60,614.4,1955,0.626302,382,167,124,608,OK,,,
S3,2020,6,9,22,50,16,45.424927,-71.913116,160.2,11,52.2,15.7,60,614.4,1819,1.435276,760,337,238,1233,OK,,,
S4,2020,6,9,22,50,19,45.4249,-71.913246,159.89999,11,52.3,15.8,60,614.4,1632,0.548014,278,135,110,448,OK,,,
S5,2020,6,9,22,50,21,45.424831,-71.913223,159.89999,11,52.3,15.8,60,614.4,3370,0.208767,64,42,39,87,UE,,,
S6,2020,6,9,22,50,23,45.424744,-71.913132,159.89999,11,52.2,15.7,60,614.4,1620,0.822021,330,163,119,561,OK,,,
S2,2020,6,9,22,50,28,45.424511,-71.91301,156.2,11,52.2,15.7,60,614.4,2298,0.182671,129,54,40,200,UE,,,
S4,2020,6,9,22,50,33,45.424286,-71.913002,159.10001,11,52.2,15.7,60,614.4,1644,2.583496,858,437,291,1469,OK,,,
S5,2020,6,9,22,50,36,45.424145,-71.91304,159.89999,11,52.2,15.7,60,614.4,2111,0.287055,85,50,40,131,UE,,,
S1,2020,6,9,22,50,41,45.42408,-71.913345,160.3,11,52.2,15.7,60,614.4,1979,16.688341,3816,2265,1444,7058,OK,,,
S2,2020,6,9,22,50,43,45.424088,-71.913498,161.5,11,52.3,15.7,60,614.4,2530,9.329291,6491,2552,1646,10418,OK,,,
S4,2020,6,9,22,50,48,45.424103,-71.913887,165.3,11,52.3,15.7,60,614.4,1655,0.221815,110,52,39,170,UE,,,
S1,2020,6,9,22,50,55,45.424225,-71.914177,167.60001,11,52.3,15.7,60,614.4,3370,0.274007,57,41,34,105,UE,,,
S2,2020,6,9,22,50,58,45.424328,-71.914177,168.7,11,52.3,15.7,60,614.4,1812,0.57411,230,125,107,366,OK,,,
S4,2020,6,9,22,51,3,45.424591,-71.91423,171.8,11,52.3,15.6,60,614.4,1847,0.521918,263,114,74,411,UE,,,
S5,2020,6,9,22,51,5,45.424702,-71.914268,173.89999,11,52.3,15.6,60,614.4,1944,0.208767,57,33,23,97,UE,,,
S6,2020,6,9,22,51,8,45.424835,-71.914337,174.7,11,52.3,15.6,60,614.4,1630,0.822021,334,159,108,551,OK,,,
S2,2020,6,9,22,51,12,45.42511,-71.914429,175.39999,11,52.3,15.6,60,614.4,1896,0.313151,167,72,48,263,UE,,,
S3,2020,6,9,22,51,15,45.425228,-71.914474,175.8,11,52.4,15.6,60,614.4,2368,0.50887,102,67,45,202,UE,,,
S4,2020,6,9,22,51,17,45.425385,-71.914528,175.8,11,52.4,15.6,60,614.4,1984,0.534966,324,140,101,514,OK,,,
