R,G,B,C,R/G,B/G,R/C,B/C,G/C,MSI,SLI,IPI,fname
154441590488.72998,99424852801.134,88938470329.2478,231992712083.85156,1.5533499536342132,0.8945295650287692,0.6657174231960724,0.428568862823578,0.38336751844644945,0.35851944421398224,0.577920275918498,1.1173416905170048,LSPDD/lampdump/INC_A21_domestic-use_Daylight-color_GE-brand_80-100-150W_120V_2600K
57198620833.95215,58913817577.58309,36801279933.1852,155817333400.24896,0.97088634187774,0.6246629644178451,0.3670876633925296,0.37809540371385253,0.23618219571665705,0.3724853284947392,0.5876011972033963,0.5716075992483054,LSPDD/lampdump/FL_T8G13_domestic-use_coolwhite-color_GE-brand_32W_4000K
285017397487.94,183850600522.9725,162010876024.96875,415892391013.73975,1.5502663395017113,0.8812093926488163,0.6853152489594934,0.4420629097705677,0.38954998823149045,0.29642286506682186,0.5082664761519675,0.9463887206315359,LSPDD/lampdump/INC_A19_domestic-use_softwhite-color_Sylvania-brand_100W_120V_12.6Lum_2659K
43930105008.88504,42050772946.47091,30323557160.515617,107986265718.62657,1.0446919742665957,0.7211177116557737,0.40681196554523996,0.38940852956282535,0.2808093877375843,0.4169417276960968,0.6194714008453693,0.6004957355343434,LSPDD/lampdump/CFL_Twister_domestic-use_coolwhite-color_EnergyStar-brand_15W_63.3Lum_4100K_10000H
8010854971.995449,5759482444.82835,2377553084.19445,16385420126.055,1.3908984094896737,0.4128067247308552,0.4889014081034836,0.3515004437188648,0.1451017469130269,0.16006977910244716,0.369024354419842,0.46809684923916245,LSPDD/lampdump/CFL_Twister_domestic-use_softwhite-color_EnerSaver_Globe-brand_40W_120V_65Lum_2700K
316872310653.485,199679341022.6225,173267491597.60626,461871963056.7362,1.5869058312726765,0.8677286829486085,0.6860609346286743,0.4323261791019213,0.37514182599631435,0.274454004026571,0.4881264553549709,0.9499265442822519,LSPDD/lampdump/INC_Candle-Crystalclear_domestic-use_softwhite-color_GE-brand_60W_120V_2574K
106573411577.27264,63773128851.750015,34681384098.65574,210210741404.42468,1.67113349299543,0.5438244088552986,0.5069836625153038,0.30337711777086035,0.16498388173196243,0.2015500943404304,0.33595526536468195,0.5833355027611724,LSPDD/lampdump/LED_Streetview-2amber-board-and-1white-board_streetlight-use_Philips-brand
352736538623.7931,230776446180.16592,127226178339.29605,715975276937.8158,1.52847721014134,0.551296202212817,0.49266580842347873,0.3223246019990847,0.1776963289618532,0.21484454111688805,0.4201216921963057,0.6517329721272471,LSPDD/lampdump/LED_PAR20_BlackBulbBody_domestic-usesoftwhite-color_EnergySmart-brand_7W_47.1Lum_2700K_25000H
925814040592.825,601912920812.7275,521020205521.19995,1392254806051.15,1.5381195661039355,0.8656072789028969,0.6649745697188217,0.43232956941260786,0.3742276221685086,0.304809639312483,0.5186356532518346,0.9330154803474,LSPDD/lampdump/Halo_PAR20_domestic-use_softwhite-color_Globe-brand_50W_120V_9Lum_2729K
145457374433.87302,62600783499.667244,24300707600.030083,238991710774.03192,2.323571148828292,0.3881853587369119,0.6086293702939506,0.26193704918434035,0.1016801274041113,0.04697928940208191,0.17960753411821923,0.5474225352245399,LSPDD/lampdump/LED_Streetview-3amber-board_streetlight-use_softwhite-color_Philips-brand_1800K
6687264086.981163,4669126214.560093,2641717784.381851,14088839148.485622,1.4322303102725638,0.5657841880872658,0.47464975762037587,0.3314060275194473,0.18750429020731657,0.2555081762281456,0.42754651048644754,0.5643419777623427,LSPDD/lampdump/CFL_PAR30_domestic-use_coolwhite-color_EnerSaver_Globe-brand_15W_120V_46.7Lum_4100K
202918143605.29077,172334398778.9356,101212834227.12515,483493724714.91284,1.1774674414571573,0.5873048848300875,0.41969136977928595,0.3564356473924265,0.20933639684114674,0.317623505185116,0.5044851336680706,0.6407516254390421,LSPDD/lampdump/LED_Encaster4inchCalculite_domestic-use_coolwhite-color_Philips-brand_14W_1000lm_3500K
162244837348.15823,126410213886.8306,74592092084.30418,368697707614.16174,1.2834788610784946,0.5900796287797055,0.44004840279057483,0.34285598005159706,0.20231232943374852,0.28017837804450274,0.495695109886043,0.63320640565459,LSPDD/lampdump/LED_PAR38-Enduraled_domestic-use_softwhite-color_Philips-brand_18W_120V_58.3Lum_3000K
146172391191.35974,107447948143.31029,68285837764.43423,324834577145.144,1.3604018849796942,0.6355248187090272,0.4499902457306642,0.33077743474119115,0.2102172692469326,0.326065195888976,0.46448775037578016,0.6128623290424452,LSPDD/lampdump/CFL_PAR38_domestic-use_softwhite-color_ELume-brand_23W_55.7Lum_120V_2700K_8000H
1170696713588.65,776377387358.0575,673705527001.8,1798788119196.925,1.507896459442779,0.867755215404147,0.6508252423366635,0.4316113604890129,0.3745330090920203,0.33208649684174907,0.5486631629074289,0.9373363398465232,LSPDD/lampdump/Halo_PAR38_domestic-use_softwhite-color_Globe-brand_90W_120V_14.4Lum_3000K
